Cost (bps),Sharpe,Sortino,CAGR,Max Drawdown,Calmar,Annualised Vol,Total Return,Total Turnover,Annualised Turnover,Cost Drag
5,0.459,0.526,0.0716,0.3606,0.198,0.1861,1.784,56.284,3.801,0.0795
10,0.448,0.514,0.0695,0.3612,0.193,0.1861,1.7067,56.284,3.801,0.1568
