,regime,Bull,Bear,Crisis
2010-11-15,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-16,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-18,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-19,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-22,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-23,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-24,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-25,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-26,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-29,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-30,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-12-01,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-12-02,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-12-03,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-12-06,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-07,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-08,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-09,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-10,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-13,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-14,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-15,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-16,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-20,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-21,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-22,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-23,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-24,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-27,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-28,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-29,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-30,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2010-12-31,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2011-01-03,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2011-01-04,Bull,0.9999999999911324,5.982530869422431e-22,8.870446552772252e-12
2011-01-05,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-06,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-07,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-10,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-11,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-12,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-13,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-14,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-17,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-18,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-19,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-20,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-21,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-24,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-25,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-27,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-28,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-01-31,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-02-01,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-02-02,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-02-03,Crisis,5.567895363554109e-19,0.0010053356461179152,0.9989946643538613
2011-02-04,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-07,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-08,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-09,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-10,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-11,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-14,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-15,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-16,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-17,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-18,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-21,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-22,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-23,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-24,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-25,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-02-28,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-03-01,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-03-03,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-03-04,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-03-07,Crisis,6.266692667832262e-11,4.1431820329341995e-19,0.9999999999372449
2011-03-08,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-09,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-10,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-11,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-14,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-15,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-16,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-17,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-18,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-21,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-22,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-23,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-24,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-25,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-28,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-29,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-30,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-03-31,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-04-01,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-04-04,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-04-05,Crisis,1.953498008324191e-14,3.5479426035942034e-10,0.9999999996452971
2011-04-06,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-07,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-08,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-11,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-13,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-15,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-18,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-19,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-20,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-21,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-25,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-26,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-27,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-28,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-04-29,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-05-02,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-05-03,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-05-04,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-05-05,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-05-06,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-05-09,Bull,0.9823966918758545,0.01747105770393807,0.00013225041998860042
2011-05-10,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-11,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-12,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-13,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-16,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-17,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-18,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-19,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-20,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-23,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-24,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-25,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-26,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-27,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-30,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-05-31,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-06-01,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-06-02,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-06-03,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-06-06,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-06-07,Bull,0.9913831451445515,0.0005224264290376739,0.008094428426594497
2011-06-08,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-09,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-10,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-13,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-14,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-15,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-16,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-17,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-20,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-21,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-22,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-23,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-24,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-27,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-28,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-29,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-06-30,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-07-01,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-07-04,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-07-05,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-07-06,Bull,0.999271905528939,3.616055994503127e-05,0.0006919339112132526
2011-07-07,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-08,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-11,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-12,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-13,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-14,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-15,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-18,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-19,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-20,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-21,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-22,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-25,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-26,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-27,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-28,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-07-29,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-08-01,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-08-02,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-08-03,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-08-04,Crisis,2.1623250841257252e-13,0.11449283663838145,0.8855071633612395
2011-08-05,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-08,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-09,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-10,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-11,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-12,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-16,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-17,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-18,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-19,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-22,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-23,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-24,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-25,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-26,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-29,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-08-30,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-09-02,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-09-05,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
2011-09-06,Bear,1.0402519310351075e-42,0.852305783186703,0.14769421681322262
