Date,strategy_gross_return,strategy_net_return,strategy_transaction_cost,strategy_turnover,strategy_regime,strategy_rebalance_flag,static_60_40_gross_return,static_60_40_net_return,equal_weight_gross_return,equal_weight_net_return
2010-10-05,0.0017359575855562669,0.0012350896067634398,0.0005000000000000009,1.0000000000000018,Bull,True,-0.001337401337191091,-0.001836732636522398,0.002280068953222932,0.0017789289187464252
2010-10-06,0.008162126321389958,0.008162126321389958,0.0,0.0,Bull,False,0.003965110004377128,0.003965110004377128,0.005887900981449035,0.005887900981449035
2010-10-07,-0.005422881429917516,-0.005422881429917516,0.0,0.0,Bull,False,-0.0064230188757860235,-0.0064230188757860235,-0.0021266915963507557,-0.0021266915963507557
2010-10-08,-0.008095150605098222,-0.008095150605098222,0.0,0.0,Bull,False,-0.001643850753983734,-0.001643850753983734,-0.006917372215926866,-0.006917372215926866
2010-10-11,0.008870567285842556,0.008870567285842556,0.0,0.0,Bull,False,0.0031734274894813868,0.0031734274894813868,0.006920406981968206,0.006920406981968206
2010-10-12,-0.003845553551794291,-0.003845553551794291,0.0,0.0,Bull,False,-0.004396462842110611,-0.004396462842110611,-0.0015930605176090237,-0.0015930605176090237
2010-10-13,0.01755332509918302,0.01755332509918302,0.0,0.0,Bull,False,0.014031317041180155,0.014031317041180155,0.010067777765540737,0.010067777765540737
2010-10-14,-0.003014602180769516,-0.003014602180769516,0.0,0.0,Bull,False,-0.005476571255570256,-0.005476571255570256,-0.00030404516175694076,-0.00030404516175694076
2010-10-15,-0.014335055183985715,-0.014335055183985715,0.0,0.0,Bull,False,-0.011153731830139716,-0.011153731830139716,-0.008427749525694514,-0.008427749525694514
2010-10-18,-0.0011082378535879336,-0.0011082378535879336,0.0,0.0,Bull,False,0.0013079419510126117,0.0013079419510126117,-0.0016643082309084115,-0.0016643082309084115
2010-10-19,-0.0018545664177891396,-0.0018545664177891396,0.0,0.0,Bull,False,-0.0047740330220395,-0.0047740330220395,0.0004915892859069395,0.0004915892859069395
2010-10-20,-0.011759951471424229,-0.011759951471424229,0.0,0.0,Bull,False,-0.004464380734887665,-0.004464380734887665,-0.00904664795982097,-0.00904664795982097
2010-10-21,0.01589755847675717,0.01589755847675717,0.0,0.0,Bull,False,0.011839459584138706,0.011839459584138706,0.009444782732418115,0.009444782732418115
2010-10-22,-0.00812350042053624,-0.00812350042053624,0.0,0.0,Bull,False,-0.0034728667442872506,-0.0034728667442872506,-0.006080217852918308,-0.006080217852918308
2010-10-25,0.007029965965724999,0.007029965965724999,0.0,0.0,Bull,False,0.003907666503775139,0.003907666503775139,0.004817972781826049,0.004817972781826049
2010-10-26,-0.005028798617740523,-0.005028798617740523,0.0,0.0,Bull,False,-0.0023345113906916206,-0.0023345113906916206,-0.0036808180376587986,-0.0036808180376587986
2010-10-27,-0.007638503214645402,-0.007638503214645402,0.0,0.0,Bull,False,-0.006802927455717102,-0.006802927455717102,-0.00402643318065779,-0.00402643318065779
2010-10-28,-0.004024924232229787,-0.004024924232229787,0.0,0.0,Bull,False,-0.0024656513072086597,-0.0024656513072086597,-0.00264268372318174,-0.00264268372318174
2010-10-29,0.004781869712797749,0.004781869712797749,0.0,0.0,Bull,False,0.0029680746132105746,0.0029680746132105746,0.0031097277974625197,0.0031097277974625197
2010-11-01,0.018426151603302944,0.018426151603302944,0.0,0.0,Bull,False,0.009866728038907603,0.009866728038907603,0.012777945207581251,0.012777945207581251
2010-11-02,-0.00135050518161548,-0.00135050518161548,0.0,0.0,Bull,False,0.00014184488296717306,0.00014184488296717306,-0.0013508412151545443,-0.0013508412151545443
2010-11-03,0.0011698610243205307,0.000948670617709535,0.0002209319469371262,0.4418638938742524,Bear,True,0.004065359967652248,0.00406456670870492,0.0021796539481806856,0.002176048523512497
2010-11-04,0.004934229478212288,0.004934229478212288,0.0,0.0,Bear,False,0.01184983972810769,0.01184983972810769,0.00700208458643118,0.00700208458643118
2010-11-08,0.011617984088264506,0.011617984088264506,0.0,0.0,Bear,False,-0.0008338579564419189,-0.0008338579564419189,0.004474739972917547,0.004474739972917547
2010-11-09,0.010653370187371461,0.010653370187371461,0.0,0.0,Bear,False,0.002738432975703869,0.002738432975703869,0.005599443852699539,0.005599443852699539
2010-11-10,0.00010630376549369206,0.00010630376549369206,0.0,0.0,Bear,False,-0.0024901262151936316,-0.0024901262151936316,-0.0009912999900281874,-0.0009912999900281874
2010-11-11,-0.0012974425284239168,-0.0012974425284239168,0.0,0.0,Bear,False,-0.007865789187088199,-0.007865789187088199,-0.0038137050536627224,-0.0038137050536627224
2010-11-12,-0.011371531829732565,-0.011371531829732565,0.0,0.0,Bear,False,-0.011929671291554377,-0.011929671291554377,-0.009732610619064856,-0.009732610619064856
2010-11-15,-0.001987129358981318,-0.001987129358981318,0.0,0.0,Bear,False,0.004920724835495982,0.004920724835495982,0.001194176860392256,0.001194176860392256
2010-11-16,-0.003548724023897854,-0.003548724023897854,0.0,0.0,Bear,False,-0.01302820994204425,-0.01302820994204425,-0.0068884621318303935,-0.0068884621318303935
2010-11-18,-0.0002687482141467341,-0.0002687482141467341,0.0,0.0,Bear,False,0.001003136247636032,0.001003136247636032,0.00029983694035339004,0.00029983694035339004
2010-11-19,-0.0020535100279557308,-0.0020535100279557308,0.0,0.0,Bear,False,-0.010765882779487392,-0.010765882779487392,-0.005301113495442679,-0.005301113495442679
2010-11-22,0.0045824775889688335,0.0045824775889688335,0.0,0.0,Bear,False,0.012006479441656018,0.012006479441656018,0.0068564454147250434,0.0068564454147250434
2010-11-23,0.004475928895944648,0.004475928895944648,0.0,0.0,Bear,False,-0.007462346761916149,-0.007462346761916149,-0.0011886469899590817,-0.0011886469899590817
2010-11-24,0.00453455001140094,0.00453455001140094,0.0,0.0,Bear,False,-0.0068903237602770335,-0.0068903237602770335,-0.0008980108417661783,-0.0008980108417661783
2010-11-25,-0.004589541437641474,-0.004589541437641474,0.0,0.0,Bear,False,-0.006636471906413131,-0.006636471906413131,-0.004656366093068454,-0.004656366093068454
2010-11-26,-0.0008837045842662097,-0.0008837045842662097,0.0,0.0,Bear,False,-0.004838505468346522,-0.004838505468346522,-0.002341389648068328,-0.002341389648068328
2010-11-29,0.001490264278556715,0.001490264278556715,0.0,0.0,Bear,False,0.007943034796704723,0.007943034796704723,0.0038550607717784623,0.0038550607717784623
2010-11-30,-5.048697321380054e-05,-5.048697321380054e-05,0.0,0.0,Bear,False,0.0032999389779837665,0.0032999389779837665,0.001320543911221095,0.001320543911221095
2010-12-01,0.0060300361552876386,0.0060300361552876386,0.0,0.0,Bear,False,0.009877225493990595,0.009877225493990595,0.006589449086114129,0.006589449086114129
2010-12-02,0.002088577809591322,0.002088577809591322,0.0,0.0,Bear,False,0.005059672596871131,0.005059672596871131,0.002956283222359683,0.002956283222359683
2010-12-03,0.0006111628148825684,0.0006111628148825684,0.0,0.0,Bear,False,-0.0018769628007998817,-0.0018769628007998817,-0.0005110258969086027,-0.0005110258969086027
2010-12-06,0.003770087367521347,0.003539657039544508,0.000229564848441632,0.459129696883264,Bull,True,-5.111408733200484e-05,-5.3618702638091875e-05,0.0036200490701501957,0.0036146874331832723
2010-12-07,-0.0009909144478739292,-0.0009909144478739292,0.0,0.0,Bull,False,-0.0015719862201031155,-0.0015719862201031155,-0.00019804245093234393,-0.00019804245093234393
2010-12-08,-0.011855738863615536,-0.011855738863615536,0.0,0.0,Bull,False,-0.007305570718354789,-0.007305570718354789,-0.007822557625722319,-0.007822557625722319
2010-12-09,-0.016491694452302898,-0.016491694452302898,0.0,0.0,Bull,False,-0.013864058336620036,-0.013864058336620036,-0.009065467131898597,-0.009065467131898597
2010-12-10,0.010344579909247954,0.010344579909247954,0.0,0.0,Bull,False,0.009310814311898747,0.009310814311898747,0.00534499474541139,0.00534499474541139
2010-12-13,0.00591384019634082,0.00591384019634082,0.0,0.0,Bull,False,0.005105237155281159,0.005105237155281159,0.0031734960015394453,0.0031734960015394453
2010-12-14,0.006013243686133762,0.006013243686133762,0.0,0.0,Bull,False,0.0036807637782174303,0.0036807637782174303,0.0039542963576356255,0.0039542963576356255
2010-12-15,-0.007955363089446114,-0.007955363089446114,0.0,0.0,Bull,False,-0.005211643520130761,-0.005211643520130761,-0.0050852426495543775,-0.0050852426495543775
