,Bull,Bear,Crisis
Bull,0.048638828814522805,0.9408952822953252,0.010465888890152068
Bear,0.9833463144064128,0.01665368105629997,4.5372872751141655e-09
Crisis,0.01585434480481833,3.660910774345818e-07,0.9841452891041043
