datetime,open,high,low,close,volume,ATR,vol_mean,vol_std,vol_spike,trade_type,signals
2018-01-01 05:30:00,13715.65,13818.55,12750.0,13380.0,8609.915844,,,,,HOLD,0
2018-01-02 05:30:00,13382.16,15473.49,12890.02,14675.11,20078.092111,,,,,HOLD,0
2018-01-03 05:30:00,14690.0,15307.56,14150.0,14919.51,15905.667639,,,,,HOLD,0
2018-01-04 05:30:00,14919.51,15280.0,13918.04,15059.54,21329.649574,,,,,HOLD,0
2018-01-05 05:30:00,15059.56,17176.24,14600.0,16960.39,23251.491125,,,,,HOLD,0
2018-01-06 05:30:00,16960.39,17143.13,16011.21,17069.79,18571.457508,,17834.9632586,5818.2238485732705,26562.29903145991,HOLD,0
2018-01-07 05:30:00,17069.79,17099.96,15610.0,16150.03,12493.125558,,19827.2715914,2783.9439883682344,24003.187573952353,HOLD,0
2018-01-08 05:30:00,16218.85,16322.3,12812.0,14902.54,26600.609912,,18310.278280799997,4278.487469469944,24728.009485004914,HOLD,0
2018-01-09 05:30:00,14902.54,15500.0,14011.05,14400.0,14315.004253,,20449.2667354,5321.957071362524,28432.202342443787,HOLD,0
2018-01-10 05:30:00,14401.0,14955.66,13131.31,14907.09,17411.001655,,19046.3376712,5922.540855542823,27930.148954514232,HOLD,0
2018-01-11 05:30:00,14940.0,14968.68,11400.0,13238.78,33554.723751,,17878.2397772,5442.304328323027,26041.69626968454,HOLD,0
2018-01-12 05:30:00,13238.76,14109.78,12500.0,13740.01,16417.162137,,20874.893025799996,8928.138819276983,34267.10125471547,HOLD,0
2018-01-13 05:30:00,13749.95,14580.0,13706.15,14210.0,12221.508528,,21659.7003416,8145.3111862461665,33877.66712096925,HOLD,0
2018-01-14 05:30:00,14210.0,14339.5,12569.2,13474.99,17017.894329,1919.0246153846151,18783.880064799996,8495.580369938141,31527.250619707207,HOLD,0
2018-01-15 05:30:00,13477.98,14249.99,13147.79,13539.93,14652.094705,1860.6799999999996,19324.45808,8221.713248062766,31657.027952094148,HOLD,0
2018-01-16 05:30:00,13500.0,13542.93,9035.0,10900.0,63401.169175,2049.7692857142856,18772.67669,8471.033370247682,31479.226745371525,SHORT,-1
