date,regime,converged,n_iter,log_likelihood,turnover,cost,n_restarts_attempted,n_restarts_converged,best_seed
2010-10-05,Bull,True,200,-788.6350166126431,1.0000000000981288,0.0010000000000981288,3,3,44
2010-11-03,Bull,True,200,-954.8161765087842,0.0039359122953197545,7.87182459063951e-06,3,3,44
2010-12-06,Crisis,True,200,-1161.4213502320697,0.7091382835525495,0.0014182765671050988,3,3,44
2011-01-05,Bear,True,200,-1329.6679310771594,0.7114365525264665,0.0014228731050529332,3,3,44
2011-02-04,Crisis,True,200,-1512.9290535216278,0.7266200598061907,0.0014532401196123814,3,3,44
2011-03-08,Crisis,True,200,-1693.5218961274052,0.007935676316885918,1.5871352633771837e-05,3,3,44
2011-04-06,Bear,True,200,-1886.9104336997436,0.7220541219801322,0.0014441082439602643,3,3,44
2011-05-10,Bear,True,200,-1888.190985339341,0.017093948132308863,3.418789626461772e-05,3,3,44
2011-06-08,Bear,True,200,-1916.628556290576,0.002141161451303828,4.282322902607656e-06,3,3,44
2011-07-07,Bear,True,200,-1894.1581751935687,0.00772648500529237,1.545297001058474e-05,3,3,44
2011-08-05,Bear,True,200,-1937.4127944771237,0.19999973537247662,0.00039999947074495317,3,3,44
2011-09-08,Crisis,True,200,-1884.8497380472065,0.569234043891244,0.001138468087782488,3,3,44
2011-10-10,Crisis,True,200,-1870.4113637782748,0.008711557583789019,1.742311516757804e-05,3,3,44
2011-11-14,Crisis,True,200,-1811.4696916822643,0.01653035568954994,3.3060711379099885e-05,3,3,44
2011-12-14,Bear,True,200,-1873.8636548930292,0.552475872981674,0.001104951745963348,3,3,44
2012-01-12,Bear,True,200,-1861.591665616029,0.004881155921910615,9.76231184382123e-06,3,3,44
2012-02-13,Bear,True,200,-1876.2533913485997,0.12672428047788825,0.00025344856095577654,3,3,44
2012-03-15,Bull,True,200,-1790.7907240717177,0.4456705582851963,0.0008913411165703926,3,3,44
2012-04-17,Bull,True,200,-1800.7385395982892,0.014399151597620688,2.879830319524138e-05,3,3,44
2012-05-17,Bear,True,200,-1839.6988386905941,0.440627931789308,0.000881255863578616,3,3,44
2013-02-21,Bear,True,200,-1888.239359718348,0.001450178710774473,2.9003574215489458e-06,3,3,44
2013-03-22,Bear,True,200,-1924.3600077251504,0.00273328704179669,5.46657408359338e-06,3,3,44
2013-04-26,Bear,True,200,-1900.2907123436084,0.38834409215572113,0.0007766881843114423,3,3,44
2013-05-28,Bear,True,200,-1958.548368113488,0.3857642909160309,0.0007715285818320619,3,3,44
2013-06-26,Bear,True,200,-1950.156424916845,0.18493086318962368,0.0003698617263792473,3,3,44
2013-07-25,Bear,True,200,-1930.1391189596857,0.1903942000888636,0.00038078840017772723,3,3,44
2013-08-27,Crisis,True,200,-1949.6739056029558,0.25000784290238043,0.0005000156858047608,3,3,44
2013-09-26,Crisis,True,200,-1936.6970854627252,0.024582279091007134,4.9164558182014274e-05,3,3,44
2013-10-29,Crisis,True,200,-1958.1169758741614,0.007512413234211337,1.5024826468422672e-05,3,3,44
2013-11-29,Bull,True,200,-2037.81355964216,0.5206838285287309,0.0010413676570574617,3,3,44
2013-12-31,Bull,True,200,-1994.8346275122128,0.2471579297033178,0.0004943158594066356,3,3,44
2014-01-29,Bull,True,200,-1940.0903090457596,0.008898896167883232,1.7797792335766465e-05,3,3,44
2014-02-28,Bull,True,200,-1924.1186346246961,0.09084804277248629,0.0001816960855449726,3,3,44
2014-04-01,Bull,True,200,-1927.3218914740696,0.24278576957637224,0.00048557153915274444,3,3,44
2014-05-07,Bull,True,200,-1965.9298661227278,0.25974186584195663,0.0005194837316839132,3,3,44
2014-06-05,Crisis,True,200,-1985.6386767846573,0.7310209255566419,0.0014620418511132839,3,3,44
2014-07-04,Bull,True,200,-1883.4973590739205,0.7460502719428396,0.0014921005438856792,3,3,44
2014-08-05,Bull,True,200,-1859.3196163845523,0.20031648551776948,0.0004006329710355389,3,3,44
2014-09-05,Bear,True,200,-1865.3151668112373,0.4060216528439563,0.0008120433056879125,3,3,44
2014-10-09,Crisis,True,200,-2027.442256846655,0.3256183803291814,0.0006512367606583628,3,3,44
2014-11-13,Crisis,True,200,-2011.3104329051207,0.011628325618472095,2.325665123694419e-05,3,3,44
2014-12-12,Bear,True,200,-2002.9419996789554,0.34011443412501347,0.0006802288682500268,3,3,44
2015-01-13,Crisis,True,200,-1949.4633059684127,0.3370952017929666,0.0006741904035859331,3,3,44
2015-02-12,Bull,True,200,-1970.7460255968012,0.7331917246138254,0.0014663834492276509,3,3,44
2015-03-17,Crisis,True,200,-2016.2958671054191,0.7476541996210564,0.0014953083992421128,3,3,44
2015-04-20,Crisis,True,200,-1972.6636581557168,0.00590244768806537,1.180489537613074e-05,3,3,44
2015-05-20,Crisis,True,200,-1984.0237938339453,0.0020188553083781494,4.037710616756299e-06,3,3,44
2015-06-18,Crisis,True,200,-1937.43687795116,0.007832272062492776,1.5664544124985552e-05,3,3,44
2015-07-17,Bear,True,200,-1944.8948419231565,0.3527293400749356,0.0007054586801498713,3,3,44
2015-08-17,Bull,True,200,-1997.333194749925,0.4046710016149736,0.0008093420032299471,3,3,44
2015-09-15,Crisis,True,200,-1959.0680807306976,0.7386841663573026,0.0014773683327146054,3,3,44
2015-10-19,Bear,True,200,-1886.0206029033943,0.2538288822006438,0.0005076577644012877,3,3,44
2015-11-20,Bull,True,200,-1899.5789533044433,0.3587434566515074,0.0007174869133030148,3,3,44
2015-12-22,Bull,True,200,-1909.5390633992643,0.026511145453800296,5.3022290907600595e-05,3,3,44
2016-01-21,Bull,True,200,-1897.5209333458606,0.018785155503445367,3.7570311006890733e-05,3,3,44
2016-02-22,Crisis,True,200,-1826.7460385819707,0.3931282376169771,0.0007862564752339542,3,3,44
2016-03-23,Crisis,True,200,-1869.8039260131802,0.0060155805497667525,1.2031161099533504e-05,3,3,44
2016-04-28,Bull,True,200,-1884.3372435813385,0.484725428124751,0.000969450856249502,3,3,44
2016-05-27,Bull,True,200,-1824.1095460859876,0.009669177928060685,1.933835585612137e-05,3,3,44
2016-06-27,Bull,True,200,-1783.7418178398743,0.01111805507716672,2.223611015433344e-05,3,3,44
2016-07-27,Bull,True,200,-1735.0189997328036,0.016175283124945677,3.235056624989136e-05,3,3,44
2016-08-26,Bull,True,200,-1682.7880966813639,0.005184574593445762,1.0369149186891524e-05,3,3,44
2016-09-28,Bull,True,200,-1786.2880523667297,0.19950937360414003,0.00039901874720828007,3,3,44
2016-11-01,Bear,True,200,-1792.9400288210038,0.4526066587051124,0.0009052133174102249,3,3,44
2016-12-01,Crisis,True,200,-1718.1570644396368,0.6843138656252705,0.0013686277312505413,3,3,44
2016-12-30,Bear,True,200,-1724.1369788490936,0.6884413160488194,0.0013768826320976388,3,3,44
2017-01-31,Bear,True,200,-1755.203201945443,0.19677986457014252,0.00039355972914028496,3,3,44
2017-03-02,Bear,True,200,-1806.9567169232853,0.5276986004137604,0.0010553972008275209,3,3,44
2017-04-03,Bull,True,200,-1844.7759514150596,0.39083524616937004,0.00078167049233874,3,3,44
2017-05-05,Bull,True,200,-1793.7451217140854,0.0003568349139629455,7.13669827925891e-07,3,3,44
2017-06-05,Bull,True,200,-1728.0885901918523,0.0059590877335024516,1.1918175467004902e-05,3,3,44
2017-07-05,Bull,True,200,-1699.9470031156213,0.001136037812862415,2.27207562572483e-06,3,3,44
2017-08-03,Bull,True,200,-1647.208396293016,0.005533290668438934,1.106658133687787e-05,3,3,44
2017-09-05,Crisis,True,200,-1694.3354057700572,0.7626639374020976,0.001525327874804195,3,3,44
2017-10-05,Crisis,True,200,-1684.6261487777967,0.0074137244539086225,1.4827448907817246e-05,3,3,44
2017-11-06,Bull,True,200,-1688.7614783669453,0.7591528932092005,0.001518305786418401,3,3,44
2017-12-05,Bull,True,200,-1788.147476364999,0.0057521827075213555,1.150436541504271e-05,3,3,44
2018-01-04,Bull,True,200,-1821.4290970747224,0.0054173613584779425,1.0834722716955883e-05,3,3,44
2018-02-05,Crisis,True,200,-1956.6188338056877,0.7190154914925644,0.001438030982985129,3,3,44
2018-03-08,Crisis,True,200,-1864.039348949058,0.0053262823979739055,1.0652564795947811e-05,3,3,44
2018-04-10,Crisis,True,200,-1822.5607731571365,0.0037189870776145606,7.437974155229121e-06,3,3,44
2018-05-10,Bull,True,200,-1846.354666385318,0.7159135387242201,0.0014318270774484403,3,3,44
2018-06-08,Bear,True,200,-1868.1795496323257,0.40312876367112094,0.0008062575273422419,3,3,44
2018-07-09,Bear,True,200,-1923.797567307535,0.21174208272365855,0.0004234841654473171,3,3,44
2018-08-07,Bull,True,200,-1938.7986033508976,0.5192189420702632,0.0010384378841405261,3,3,44
2018-09-07,Bull,True,200,-1948.3005878960141,0.062085829906185955,0.0001241716598123719,3,3,44
2018-10-11,Crisis,True,200,-1899.0013349506812,0.7281149994101431,0.001456229998820286,3,3,44
2018-11-13,Crisis,True,200,-1770.750845391651,0.01216363882114646,2.4327277642292924e-05,3,3,44
2018-12-13,Bear,True,200,-1863.068061931941,0.708450131872399,0.001416900263744798,3,3,44
2019-01-14,Bear,True,200,-1826.925565432966,0.38313098845067384,0.0007662619769013476,3,3,44
2019-02-12,Bear,True,200,-1812.2722554805932,0.002816864772692577,5.633729545385154e-06,3,3,44
2019-03-15,Bear,True,200,-1836.7217491869364,0.6522132565175323,0.0013044265130350645,3,3,44
2019-04-18,Bull,True,200,-1805.5276858819088,0.39301672990042946,0.0007860334598008588,3,3,44
2019-05-22,Bear,True,200,-1778.3588157339202,0.3992852400663449,0.0007985704801326899,3,3,44
2019-06-21,Bear,True,200,-1695.544866304548,0.6010856518444959,0.0012021713036889916,3,3,44
2019-07-22,Bear,True,200,-1845.9684583236444,0.18355106600058702,0.000367102132001174,3,3,44
2019-08-22,Crisis,True,200,-1813.4288007897667,0.6899676845946492,0.0013799353691892984,3,3,44
2019-09-24,Crisis,True,200,-1790.9968089760507,0.015872786454650477,3.174557290930095e-05,3,3,44
2019-10-27,Bear,True,200,-1726.5613364019855,0.6966271640916728,0.0013932543281833455,3,3,44
2019-11-27,Bull,True,200,-1812.520813844953,0.43876882476697354,0.0008775376495339471,3,3,44
2019-12-27,Bull,True,200,-1861.8537364710858,0.34809856508725434,0.0006961971301745087,3,3,44
2020-01-27,Bear,True,200,-1852.893079828281,0.4005153521727298,0.0008010307043454597,3,3,44
2020-02-26,Crisis,True,200,-1920.9363282354782,0.24733770389514886,0.0004946754077902977,3,3,44
2020-03-27,Crisis,True,200,-1490.774454368479,0.12810488984710044,0.0002562097796942009,3,3,44
2020-05-04,Crisis,True,200,-1325.3338767706705,0.021134962298775824,4.226992459755165e-05,3,3,44
2020-06-03,Bear,True,200,-1459.5655581554163,0.23893719110222023,0.0004778743822044404,3,3,44
2020-07-02,Bull,True,200,-1464.6542849854666,0.3426171480958381,0.0006852342961916762,3,3,44
2020-07-31,Bull,True,200,-1474.851873893682,0.011550819037517465,2.3101638075034932e-05,3,3,44
2020-08-31,Bull,True,200,-1389.9861161425008,0.006613380808625118,1.3226761617250236e-05,3,3,44
2020-09-29,Bull,True,200,-1430.0338528250898,0.0036440701040090758,7.288140208018151e-06,3,3,44
2020-10-29,Bear,True,200,-1361.5349452065175,0.3586488638201799,0.0007172977276403598,3,3,44
2020-11-27,Bull,True,200,-1425.3350542079265,0.3331922787617247,0.0006663845575234494,3,3,44
2020-12-30,Bull,True,200,-1401.0111644651552,0.4315889100948697,0.0008631778201897394,3,3,44
2021-01-29,Bull,True,200,-1397.9988093402749,0.0008161435375088636,1.6322870750177272e-06,3,3,44
2021-03-01,Bull,True,200,-1420.8804121713977,0.11786475591988384,0.00023572951183976765,3,3,44
2021-04-01,Bull,True,200,-1492.502612019168,0.004583653636960887,9.167307273921773e-06,3,3,44
2021-05-05,Bear,True,200,-1676.9893476857455,0.599994483171381,0.0011999889663427618,3,3,44
