date,Bull,Bear,Crisis
2010-10-05,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-06,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-07,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-08,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-11,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-12,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-13,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-14,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-15,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-18,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-19,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-20,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-21,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-22,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-25,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-26,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-27,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-28,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-10-29,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-11-01,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-11-02,1.0,5.89254638233106e-102,8.52239983118582e-120
2010-11-03,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-04,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-08,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-09,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-10,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-11,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-12,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-15,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-16,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-18,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-19,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-22,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-23,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-24,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-25,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-26,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-29,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-11-30,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-12-01,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-12-02,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-12-03,1.0,2.9648684354295416e-39,2.534969869220662e-46
2010-12-06,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-07,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-08,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-09,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-10,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-13,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-14,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-15,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-16,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-20,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-21,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-22,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-23,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-24,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-27,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-28,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-29,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-30,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2010-12-31,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2011-01-03,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2011-01-04,2.2090681364366533e-10,7.637310614051918e-09,0.9999999921417384
2011-01-05,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-06,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-07,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-10,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-11,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-12,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-13,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-14,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-17,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-18,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-19,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-20,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-21,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-24,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-25,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-27,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-28,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-01-31,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-02-01,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-02-02,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-02-03,1.0273217800244943e-15,0.9875406856615349,0.01245931433842398
2011-02-04,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-07,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-08,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-09,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-10,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-11,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-14,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-15,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-16,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-17,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-18,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-21,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-22,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-23,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-24,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-25,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-02-28,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-03-01,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-03-03,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-03-04,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-03-07,7.732265961649479e-38,2.0839409353211818e-26,1.0
2011-03-08,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-09,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-10,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-11,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-14,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-15,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-16,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-17,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-18,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-21,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-22,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-23,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-24,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-25,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-28,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-29,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-30,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-03-31,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-04-01,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-04-04,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-04-05,5.46796799668926e-39,1.336859430767286e-11,0.999999999986585
2011-04-06,4.804143551207464e-22,0.9997566774991676,0.00024332250089504454
2011-04-07,4.804143551207464e-22,0.9997566774991676,0.00024332250089504454
2011-04-08,4.804143551207464e-22,0.9997566774991676,0.00024332250089504454
2011-04-11,4.804143551207464e-22,0.9997566774991676,0.00024332250089504454
