date,RegimeShift,No-regime optimizer,Volatility rule,HMM fixed allocations,Minimum variance,Static 60/40,Equal Weight,fold
2013-01-31,0.0006973055992152144,0.000697305965541295,-0.001590964249199911,0.0003661094639544338,0.003478272938329585,-0.0005714418361348894,6.024713001129278e-05,2013-2015
2013-02-01,-0.0035225468599856535,-0.0035225466004666917,-0.004735201323515681,-0.00340335108932166,-0.001038185584210538,-0.0038559959487655115,-0.0036348037890051588,2013-2015
2013-02-04,-0.005340139696931923,-0.005340139630637397,-0.002615694963935433,-0.0027074721695408144,-0.0008949884329343405,-0.0012579007775356255,-0.002873064333101971,2013-2015
2013-02-05,0.010745476703812429,0.010745476986700808,-0.0005379884148133396,0.0023302761007129025,0.000939942462727883,-0.0032811859011736555,0.0024268696476186236,2013-2015
2013-02-06,-0.006537509015617893,-0.006537509060104307,-0.0014343764781812318,-0.002373640909990038,-0.0008372788676964671,0.00024950614132968063,-0.0025046590324305784,2013-2015
2013-02-07,0.003394810280938909,0.0033948104528709333,-0.0013348769814441885,0.00011633976461999929,0.0001269639933703104,-0.0022122195478789797,9.94760193528954e-05,2013-2015
2013-02-08,0.0017269674829916148,0.001726967762085474,-0.003374723506869959,-0.0013796244859052287,-0.000330644892423515,-0.003836399835549398,-0.0014980627259875146,2013-2015
2013-02-11,-0.001344165019687038,-0.001344164981156304,-0.0009608998428340954,-0.000843598830813308,-0.0002693939415625568,-0.0006163988701152201,-0.0008978356809289378,2013-2015
2013-02-12,-0.005984151936786475,-0.005984152148692634,0.00113161878134993,-0.0008696129386097651,-0.0004067448043710842,0.0026909391481657607,-0.0008904970135866774,2013-2015
2013-02-13,0.0013168922996822374,0.0013168922237314362,0.0014721975786000652,0.0011092618999473114,0.0003409933034941304,0.0011377477644238798,0.001184163123042259,2013-2015
2013-02-14,-0.0015439443341405124,-0.0015439440614015698,-0.0042977354393273215,-0.002675739652282294,-0.000777520518048358,-0.003914986307580803,-0.002868589239955255,2013-2015
2013-02-15,-0.005134623228617463,-0.00513462317338742,-0.0023607178235006687,-0.00251918944669971,-0.0008335689051244266,-0.0010426727775931788,-0.0026732867890838508,2013-2015
2013-02-18,-0.005083563427102145,-0.00508356352969952,-0.00012611868439604823,-0.001310756271190372,-0.0004999100691247538,0.0011803748301664196,-0.001372914726511354,2013-2015
2013-02-19,0.0010229215045969298,0.0010229211831607188,0.004789472677970474,0.002808942100165135,0.0007958419359217483,0.004530229174999123,0.0030172084927289067,2013-2015
2013-02-20,-0.008628749172429284,-0.008628749233519528,-0.0018311594121485086,-0.0030794395665676433,-0.0010821941031272653,0.0003640015465733448,-0.003250492766685431,2013-2015
2013-02-21,-0.009824089978467287,-0.009824089394663171,-0.012370299512838079,-0.009013445411574006,-0.002740202777195777,-0.009946910509351814,-0.00969571262306168,2013-2015
2013-02-22,0.005972593698211126,0.005972593938964543,0.001276543420429821,0.0021230892252770417,0.0007234277580649984,-0.00019994313084714666,0.0023775012809417184,2013-2015
2013-02-25,0.0005007530677803018,0.0005007530854301834,0.0006194212874879312,0.00045408851529726846,0.00013874097591148882,0.0004563460491018301,0.00046226912335711745,2013-2015
2013-02-26,0.0025209700267296853,0.0025209701761321757,-0.009721014349197143,-0.004622476115645924,-0.0012527880432149363,-0.009573340406790587,-0.0042506031108660025,2013-2015
2013-02-27,0.0020388651434790628,0.002038865205934881,0.004498047150448992,0.002903530053670833,0.0008603881750397502,0.003679018542999346,0.002886139093045692,2013-2015
2013-02-28,-0.008158715237044478,-0.008158715661037874,-0.013220056466559438,-0.008138696109731725,0.0004678605856163198,-0.00901294479673953,-0.0082867346512282,2013-2015
2013-03-01,-0.0001588917885564367,-0.00015889180892114663,0.0029693392862937262,0.001545390090312626,0.00042887406449554355,0.002772908312780542,0.001461560211064361,2013-2015
2013-03-04,0.010271506747966175,0.010271507171164762,0.0002230839238848148,0.0026092261250392212,0.0009453295657546601,-0.0021997291019584253,0.0031003675132272868,2013-2015
2013-03-05,-0.0025210546271972056,-0.0025210547718538256,0.009006504790276981,0.004184008445451859,0.0011201828770786015,0.008917022237001193,0.0038289261155664,2013-2015
2013-03-06,-0.004113446421075029,-0.004113446602869941,0.0027887771329293543,0.0004952545508345452,5.281330724438149e-05,0.0035404482242680224,0.00022440353719321848,2013-2015
2013-03-07,0.0035081239982295287,0.003508124115254807,0.005857507910556281,0.003991134887531,0.0011966922052393247,0.004590923611644371,0.004009885561041759,2013-2015
2013-03-08,-0.006037427362574843,-0.006037427646493176,0.007596856866069146,0.0026274432432920047,0.0006147768210191806,0.008424330767485833,0.002140845060268015,2013-2015
2013-03-11,-0.0013419993687915355,-0.0013419994209756814,-0.0007006135532713342,-0.000699771594534937,-0.00022586543779945512,-0.00033964114109330534,-0.0007461391848926358,2013-2015
2013-03-12,0.002933927170784445,0.002933927303707673,-0.0023763147293522913,-0.0005824022980049914,-0.00010350877512499412,-0.002865027571701151,-0.00038101202850149285,2013-2015
